Nombre,Grupo,Perfil,Habilitado,Acción,Invalidar,Programa,Dirección local,Dirección remota,Protocolo,Puerto local,Puerto remoto,Usuarios permitidos,Equipos permitidos,,,,,,,,,,,,,,,,
NI Service Locator,,Privado, Público,Sí,Permitir,No,C:\Program Files (x86)\National Instruments\Shared\nisvcloc\nisvcloc.exe,Cualquiera,Cualquiera,UDP,3580,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
NI Service Locator,,Privado, Público,Sí,Permitir,No,C:\Program Files (x86)\National Instruments\Shared\nisvcloc\nisvcloc.exe,Cualquiera,Cualquiera,TCP,3580,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
Packet Tracer Executable,,Privado, Público,Sí,Permitir,No,D:\program files\cisco packet tracer 7.2.1\bin\packettracer7.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
Packet Tracer Executable,,Privado, Público,Sí,Permitir,No,D:\program files\cisco packet tracer 7.2.1\bin\packettracer7.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
Packet Tracer Executable,,Privado, Público,Sí,Permitir,No,D:\program files\cisco packet tracer 8.2.1\bin\packettracer.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
Packet Tracer Executable,,Privado, Público,Sí,Permitir,No,D:\program files\cisco packet tracer 8.2.1\bin\packettracer.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,
Really Big Sky,,Todo,Sí,Permitir,No,D:\Program Files (x86)\Steam\steamapps\common\RBS\Really Big Sky.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
Really Big Sky,,Todo,Sí,Permitir,No,D:\Program Files (x86)\Steam\steamapps\common\RBS\Really Big Sky.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
RealVNC Server,,Privado,Sí,Permitir,No,C:\Program Files\RealVNC\VNC Server\vncserver.exe,Cualquiera,Cualquiera,TCP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
RealVNC Server,,Privado,Sí,Permitir,No,C:\Program Files\RealVNC\VNC Server\vncserver.exe,Cualquiera,Cualquiera,UDP,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
SoftEther VPN Client,,Todo,Sí,Permitir,No,C:\Program Files\SoftEther VPN Client\vpnclient.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
SoftEther VPN Client,,Todo,Sí,Permitir,No,C:\Program Files\SoftEther VPN Client\vpnclient_x64.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
SoftEther VPN Client Connection Manager,,Todo,Sí,Permitir,No,C:\Program Files\SoftEther VPN Client\vpncmgr.exe,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,Cualquiera,,,,,,,,,,,,,,,,
